tweet_id,creation_date,text,username,name,follower_count,following_count,number_of_tweets,is_verified,is_blue_verified,location,favorite_count,retweet_count,quote_count,reply_count,retweet,video_view_count,in_reply_to_status_id,quoted_status_id
1630770265587326977,Wed Mar 01 03:21:44 +0000 2023,"No such thing as too hip to be square when square can be this cute 🤸🏻‍♀️ #ShoesdayTuesday

https://t.co/SNT531pcLL https://t.co/8vYXATfhs5",katyperry,KATY PERRY,108392308,241,11846,True,False,,3972,298,34,212,False,,,
1630041473122189312,Mon Feb 27 03:05:46 +0000 2023,💔 #americanidol https://t.co/wy8IEDbo9G,katyperry,KATY PERRY,108392308,241,11846,True,False,,23887,3853,1089,1048,False,1436005.0,,
1630032396958732288,Mon Feb 27 02:29:42 +0000 2023,You’re welcome Nicole Richie 🙃 #idol https://t.co/ugDFGAVZVq,katyperry,KATY PERRY,108392308,241,11846,True,False,,5513,394,31,146,False,114232.0,,
1630010512951099392,Mon Feb 27 01:02:45 +0000 2023,".@lionelrichie:
@rockhall inductee ✔️
AMAs Icon Award ✔️
….but I get to give him this 👑
🤸🏻‍♀️🤪 https://t.co/SVFDCX4Cdz",katyperry,KATY PERRY,108392308,241,11846,True,False,,5900,457,72,149,False,173524.0,,
1629965091759353857,Sun Feb 26 22:02:15 +0000 2023,"No matter the weather, it’s always a good time for leather 🐱🖤 (and #americanidol on at 8/7c tonight!!!) https://t.co/cXuUX8oUd5",katyperry,KATY PERRY,108392308,241,11846,True,False,,15476,1516,257,605,False,,,
1629241032696287232,Fri Feb 24 22:05:06 +0000 2023,"if life is a game, the quest is coming back to wholeness ♥️",katyperry,KATY PERRY,108392308,241,11846,True,False,,11629,1616,364,948,False,,,
1629034335558070273,Fri Feb 24 08:23:46 +0000 2023,Y’all I just saw the new show @AwakeningatWynn in Vegas and it was next level tech/dancing/costumes whole bit. Like a burning man meets avatar meets 5th element meets the craziest magic tricks etc. Congrats @Bazhalpin and co for takin it to the NEXT LEVEL… ONCE AGAIN 🪄✨ https://t.co/dwA4EIOafX,katyperry,KATY PERRY,108392308,241,11846,True,False,,7364,506,30,173,False,,,
1628905299284467713,Thu Feb 23 23:51:01 +0000 2023,gratitude… for the peaks AND the valleys ♥️🙏🏻,katyperry,KATY PERRY,108392308,241,11846,True,False,,10002,1186,179,613,False,,,
1628508655288217600,Wed Feb 22 21:34:54 +0000 2023,tutu recreated the centerpiece we saw on the m&amp;g table 🥹♥️  @katyperry https://t.co/lFDKauR5A7,katysfakeid,megs,1066,700,5358,False,False,perry playland ,1679,130,7,71,True,,,
1628073800775655426,Tue Feb 21 16:46:56 +0000 2023,"Peep this 🐰

@kpcollections x @PEEPSBrand https://t.co/1qP5BlDfRL",katyperry,KATY PERRY,108392308,241,11846,True,False,,5346,436,103,262,False,99149.0,,
1627548891611824129,Mon Feb 20 06:01:08 +0000 2023,"Tonight was for you, angel 🕊️ we miss you ♥️ #americanidol https://t.co/hmLpdo8rwI",katyperry,KATY PERRY,108392308,241,11846,True,False,,9454,512,23,148,False,,,
1627519152033505281,Mon Feb 20 04:02:58 +0000 2023,#americanidol is 21 years old so duhhh this szn is gonna be wild chaotic and maybe a lil sloppy IN VEGAS like most 21st bdays in America 😵‍💫🤸🏻‍♀️ https://t.co/yXTmfEUcym,katyperry,KATY PERRY,108392308,241,11846,True,False,,6746,619,31,203,False,136066.0,,
1627474884355055616,Mon Feb 20 01:07:04 +0000 2023,idk you’ll just have to watch #americanidol rn https://t.co/apXhB7Uo2T,katyperry,KATY PERRY,108392308,241,11846,True,False,,8564,663,73,264,False,243781.0,,
1627428576890085376,Sun Feb 19 22:03:03 +0000 2023,#AMERICANIDOL is BACK‼️ and she’s celebrating her 21st year in Vegas 🍸 Tune in for the premiere TONIGHT at 8/7c 🍿🥤 https://t.co/C3ejrZCx3u,katyperry,KATY PERRY,108392308,241,11846,True,False,,20360,1880,327,662,False,,,
